"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11"
"867",2.07622810388735,0.475263052317278,0.108768029903825,0.0360018760059636,3072.37128219415,0,0,0,38826.3531760079,694743.085001398,1407217.76749086,1032705.24929151,920646.212458561,1487930.44913012,2607025.24057255,1704116.31352557,1559925.39924918,1440728.79906119,1891288.4274374,2378703.07645986,1730320.22658002,69.5041683880579,54.7222291244522,75.3203321326457,48.4822672784976,80.9089677337297,226.835327798091,140.1417371612,100.917030944987,87.5743440133604,197.823276653635,155.198174525935
"870",1.94726428284643,0.458498939676393,0.104037106713266,0.0286176021333143,3073.63723064244,0,0,0,39063.9601731856,698935.051486155,1408109.2326882,1035346.27048621,924939.391437592,1498811.25440453,2638507.97436305,1720099.76733432,1576252.94178402,1463087.64703248,1937587.71469509,2476638.63044676,2299041.3232631,76.5074369458123,59.9901622863681,83.1622099184593,53.006545090382,89.1271415963846,247.099060581572,165.640341491748,121.004702178995,96.8019793923153,241.279667853953,180.475992467313
"872",1.88327721775249,0.58867948966297,0.0927810285918231,0.0325389781831625,3072.93431591267,0,0,0,41715.1904572329,746419.86918159,1681899.51940655,1244634.3949486,1125674.52341205,1842925.10918293,3334135.81461928,2224818.32747424,2047862.05935602,1885747.97330918,2451572.74252309,3024655.54157023,2219563.33306315,86.0288475799395,66.7690561860486,94.217371325396,58.5953075048699,100.402766606713,270.60913257576,161.415851574118,116.972705302168,98.0085342121144,231.036193900777,177.495495912164
"873",1.99734280088328,0.470118113984555,0.112071985299617,0.0303731087028959,3072.62587570459,0,0,0,39055.4226855786,698811.39912853,1408749.60748176,1034809.67338067,923900.273513743,1496543.61298219,2628094.73840948,1719931.37636894,1586280.31737978,1468936.47775592,1937189.94572524,2458135.55975302,2124159.85195064,70.7322395037459,55.8445396617436,76.4915321052974,49.5669553490579,82.2969913318997,232.481744518278,157.031975511192,114.288317648401,93.433207975231,226.890824190383,171.830262725063
"874",1.99854989542865,0.479137377976253,0.0923404200428458,0.0324710903682406,3074.05408676056,0,0,0,39205.1648123305,701495.955245278,1448989.89250817,1066013.95647678,952933.4876706,1542902.00673637,2726683.44686739,1777322.54893226,1610543.00102707,1490173.47863569,1961688.78147675,2479952.49668513,1994750.52470399,81.3545294251571,63.1149546680104,89.1250981793845,55.3730534685815,94.9544708468594,255.629035453234,152.24733662685,110.343016959299,92.3855229956587,217.975594878847,167.388898199576
"876",1.95434132369861,0.538838000852963,0.0917936900615306,0.0385812362008114,3073.04117968842,0,0,0,40443.1136421497,723659.987517397,1568071.61275538,1157018.94989736,1040464.50492151,1693910.57525226,3030957.03325783,2000167.2395806,1815718.84395075,1674219.68241907,2185508.52221414,2715044.16579995,1765977.91567164,83.5637793225801,64.7953442476072,91.5798237231873,56.8275269703019,97.5420094726323,262.217175893265,144.695364299032,103.750561108654,92.1512100834097,202.324592414335,161.005252343734
"880",1.60784288559736,0.579550664982622,0.0991456886035441,0.0267523733710703,3075.13040912133,0,0,0,43405.8252419067,776494.36938899,1739979.64261592,1294914.94971568,1180809.03835817,1953369.97926982,3578960.70234369,2401662.2188939,2242734.86385867,2080294.88533424,2737449.08273818,3449279.19435279,3143887.21895735,95.9555360372979,74.9123882358532,104.63802000178,66.0006363890091,111.870647031345,306.461988989039,207.284069341631,152.067545435021,118.648385863119,304.711428945958,224.750164927852
"882",1.61375208500346,0.625498664870287,0.103550169115169,0.0424366155627871,3075.10237840334,0,0,0,44332.721506214,793132.134994644,1830603.40099472,1363420.28306538,1246737.9768024,2067769.12218608,3805605.72946943,2580099.87944826,2398500.38986528,2215813.15558345,2889360.22346067,3564589.10240113,2020537.6272272,92.6322496986772,72.6026984439803,100.721507560054,64.1326834520605,107.920009493148,298.850426975393,168.804593022672,120.333490031398,110.241184314233,232.991840456659,189.039607992813
"884",1.794251326572,0.633470878040246,0.0931116463859549,0.0315456494097552,3074.16598515598,0,0,0,43114.2786765877,771442.132850128,1802678.53793389,1338280.67144525,1217476.27000601,2004707.47634605,3666877.51571938,2471571.57503878,2294615.66587679,2111467.06804037,2736459.2632647,3353380.4021155,2450760.12436345,90.0589236156534,69.9186539255679,98.6086949687109,61.3721691237691,105.100379773261,283.515371238079,171.801268906592,124.740748544574,103.373737178536,246.947645631879,188.500269557599
"885",1.94660805821636,0.548343439871732,0.103072378676465,0.0420118942987626,3073.7182925262,0,0,0,40648.9118068807,727344.172414983,1569322.95872627,1157514.64355588,1041542.37116507,1698447.26472189,3035072.11893317,2014575.55787362,1846467.13018278,1701572.19187794,2217819.37221601,2744550.77778707,1636208.94870232,77.0498821572848,60.3642261725428,83.8045009019747,53.3071339666934,89.7727717508037,248.310505555208,140.479441661907,100.203012079053,91.5047064268276,194.161204176046,157.213918250295
"886",1.86008671751234,0.596196806526631,0.0937684607360154,0.0376791696851703,3073.63058829277,0,0,0,41990.2309432664,751336.125652991,1701929.66324978,1260247.53366618,1141159.92064776,1870754.88446444,3391363.36549705,2267967.17742046,2081659.48250322,1916568.45956289,2489541.44322246,3061410.6562714,1948807.73083441,86.4192846150339,67.1343302186848,94.5810368646387,58.9525743908837,100.841794384808,272.493478579173,153.497267834726,110.222728823412,97.1313895387137,215.328080388284,170.523222547519
"889",1.8661790178317,0.480263981777059,0.0983991046847446,0.0293244587419694,3075.05811499549,0,0,0,39824.9875527173,712523.500196685,1469690.72197008,1083585.69719777,972202.16452509,1581949.5716352,2811461.60486045,1840662.2938267,1684534.56180972,1564126.67546348,2070345.90706043,2641226.83355394,2364449.79281466,83.1307817670619,64.8561857285831,90.6979463551167,57.1149877493333,96.9305356663039,265.039285730109,170.848701435687,124.618620276665,100.587676399968,248.040874710573,186.478314391493
"892",1.87849496973748,0.583114507171397,0.0949070939336978,0.0329746608930513,3072.39129783396,0,0,0,41641.5461741531,745097.449058805,1668039.77953524,1234077.39955437,1115754.5769806,1826654.47164347,3300761.50955036,2202125.38034576,2029402.05351234,1869550.49611088,2432744.40196142,3006155.98303979,2190448.45729828,84.8110055141537,65.9549785948141,92.7489358667199,57.9582135180601,98.9463836825677,268.160588654627,160.874360379714,116.483284464405,98.0567356105828,229.841653776528,177.066468710189
"893",1.83509555268428,0.568627090006441,0.113103832606829,0.0287868667447262,3075.15959139394,0,0,0,41628.5251645328,744837.574121207,1619703.03320386,1197188.8184079,1081995.50773265,1774582.92885888,3190607.80742784,2137681.8308665,2013149.56965666,1858441.75630233,2428383.1848895,3026449.41167068,2549576.20765677,76.4900346272953,60.4423310667349,82.6648465263617,53.677986066669,88.9823118691703,251.953464736908,175.271648391066,127.993267049647,102.614650994011,255.104304128636,191.051166146349
"894",2.11574354740659,0.519347792422901,0.095368973251851,0.0345871545018895,3074.02917731329,0,0,0,39391.3646248447,704880.172090691,1493210.18143534,1097683.51678178,981415.810434016,1588055.99769729,2806825.921284,1842496.21001844,1677431.75357245,1543266.5387798,2009625.10478154,2492244.67777948,1803202.58112834,75.0311094327245,58.3744678020638,82.0279852534583,51.3115346675761,87.5297899967438,237.501695121415,139.890364613831,100.987825145309,86.4388245034988,198.557219808075,154.48790137194
"895",1.78498366596786,0.531705788745931,0.0930594395895747,0.031132345662256,3074.5542708671,0,0,0,41226.003721512,737581.979216015,1594562.15416289,1180291.49678253,1066157.51852544,1745550.7803616,3147655.84433182,2081409.40994657,1906895.98603581,1766952.11855651,2325886.62334615,2934329.21006808,2384038.55369339,90.5642447592338,70.3075154020767,99.1655350606373,61.7114628075401,105.691021799425,285.069781434133,173.73207554872,126.247017316835,104.130022357356,250.174212958932,190.439760921396
"896",2.14508246891157,0.421737743573372,0.111591085702692,0.0373094746911897,3072.92061165232,0,0,0,37712.8685133747,674818.097772271,1308507.01013212,957256.830155858,848109.775048827,1362326.3618574,2355204.87803667,1521455.30183348,1382708.73918846,1280011.35021452,1690326.33701955,2149412.90337907,1577435.67860623,66.0610470055782,52.1355668463036,71.4615332720643,46.2627569820453,76.86766452623,216.907452696085,133.64378634843,96.0250027569309,84.340681714322,187.730657544891,148.367104016996
"897",2.1152760525765,0.448587738465745,0.111343279023252,0.0444630742832243,3073.84286930181,0,0,0,38245.6546229856,684353.374987621,1354823.32805327,992564.883278961,882022.280545171,1421095.51553223,2472344.86775492,1607088.50893614,1458663.26767392,1348079.89055157,1772854.20928156,2232995.38272446,1360854.31973356,67.0973189047588,52.9423984922992,72.5938156766276,46.9723251766282,78.0763958775746,220.194057508673,126.544570145063,89.9538428394649,83.6305755501691,173.563046510837,142.149949174676
"898",2.00320661804837,0.53401257902757,0.0922047759006175,0.0356526904847023,3072.86213348845,0,0,0,40124.9072852565,717980.5597844,1547400.81681829,1140515.64592875,1023870.48605049,1663763.81394139,2966827.80048962,1954678.16982214,1777835.87655327,1638175.05459654,2136935.93566719,2654717.29535955,1859654.59858286,81.2543164450731,63.0291248929441,89.0236170327852,55.2929822155989,94.8396671208,255.228924344864,145.848590666685,105.090257515159,90.8931028701616,206.154388386141,161.408931446199
"899",1.60284623654327,0.604699389583362,0.108983068551057,0.0381573513623785,3074.11228542237,0,0,0,43982.0211453283,786827.135340992,1778112.25724771,1323324.01493499,1208568.10566053,2003734.32761124,3673983.51367008,2486395.19524683,2329255.57094211,2155791.54333543,2822355.35996021,3511741.44474732,2239951.28110343,89.9048880767373,70.7971472253355,97.4148859723305,62.7317023752634,104.653734366903,293.552215898844,177.21774402023,127.156677864365,112.526743671955,248.174742929141,197.044854322207
"902",1.67840956439117,0.602649626479113,0.0949802481882741,0.0369630039565157,3072.97911109331,0,0,0,43341.0331292822,775414.517565395,1772520.02918798,1318110.33554434,1201069.04931053,1983199.88957098,3634719.71801219,2442772.53788187,2252967.67892223,2081904.00660146,2719352.47316792,3373100.88239746,2206371.07288658,94.8673845112717,73.7805393723068,103.74139481198,64.8379100812789,110.677509540941,300.010337821686,171.462265761074,123.269371790949,107.930563344511,241.162661583026,190.229792021014
"904",1.99383450102626,0.488079575908551,0.0966502330951662,0.0385134813400353,3071.98947435327,0,0,0,39378.8708098573,704606.853264866,1459860.05061486,1074144.82629021,960914.281901334,1557448.32982418,2754321.97663902,1801119.2393465,1632308.08441123,1509066.4033099,1982613.3596422,2493303.10088358,1694575.10281171,78.8393708633764,61.4098939258031,86.1168246006508,54.0223966881248,91.9530224967491,250.321469304244,141.930055436895,101.778793026267,90.3472094674344,198.505628495584,157.909315173305
