"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14","Biomass15"
"4891",1.49214939764943,0.666028501666246,0.0997979107170494,0.0397658973959603,5102.54315936094,0,0,0,52494.96056492,954100.114027299,2118231.55079111,1582729.05284272,1499453.04101934,2552441.35341577,5015559.5882002,3632341.69212274,3485230.25071586,2738246.4189994,3313931.90145731,4498590.47813003,3432671.70765057,1845579.54372011,3076120.75372871,3847741.32973669,6895561.71230292,118.936278771526,82.4619899989824,119.356505314251,79.2243475270435,124.78265012766,391.694986015069,222.230854604121,201.488321019811,135.426753018651,275.635317091236,218.361282950664,199.086616295341,192.477707732471,257.51835518321,325.278225245377
"4892",1.83255682464833,0.639131712417385,0.0943901435188357,0.0354341291607117,5101.75052435242,0,0,0,48629.3501859885,884050.439018882,1913612.65370015,1417230.61264141,1324756.04902191,2221252.70027008,4270312.6825282,3051387.87676328,2905841.4705331,2275972.89163343,2745495.0989285,3712476.75622232,2812583.14710221,1504169.10337427,2498310.164655,3114720.80847355,6228607.40342617,100.890917112426,69.6046868265289,101.615944915346,66.6509101028729,105.944054940173,328.035521095098,189.723233192978,173.24674417872,112.030491789985,239.060668840242,184.949955658659,168.120445779764,161.049736988323,224.353541494967,284.746001320513
"4897",1.89135519658264,0.572505211049982,0.0910295658784826,0.0375846309847598,5100.58103466715,0,0,0,46833.7038182562,851393.866698519,1755593.460508,1296402.73639233,1204105.60914732,2006440.3540851,3813675.5149507,2685128.72626522,2513692.60894996,1966549.72390476,2370867.57976649,3203592.55194161,2417248.79391738,1295586.17958245,2173558.8447022,2758544.6032344,5524513.09128168,100.426370572689,69.0650054139302,101.381590599409,65.9934401757379,105.515673001375,323.844618649049,179.360282075477,163.185821746732,107.651974386793,224.185067690186,175.561137545909,159.832570980655,153.841486096793,209.912502333097,265.771188826047
"4899",1.61912555216778,0.661826583793234,0.0904554409923791,0.0282047529740016,5100.56437040833,0,0,0,50998.5620217471,927013.158219451,2065989.38673671,1539436.19959751,1451637.12387178,2455661.91968632,4800573.83907054,3452336.15453797,3312972.24831633,2599979.0257531,3142388.0240199,4260030.76513537,3248574.00269667,1740153.1300955,2893980.96347593,3623707.0629786,8934008.24738069,117.867854923089,81.0153940033789,119.036310105124,77.3837433968997,123.853085720799,379.544772962181,238.096363025141,220.547872202365,131.485416672826,309.525395277443,228.372863178627,206.301614047079,193.799561727708,292.998129714251,375.251552925955
"4906",1.68575320572221,0.62304698757257,0.1022738631243,0.0335558607865769,5099.94336941803,0,0,0,49465.0422615579,899148.715247041,1914064.25696601,1420749.51226764,1332470.66538458,2245525.79480911,4333369.23322092,3104702.49610874,2983072.14994217,2338976.79589035,2825401.40755809,3827334.68663755,2907646.15538484,1559639.11927331,2606761.04851748,3288038.58355095,7094459.22994023,103.417459001768,71.8612438833608,103.613554287261,69.1413010086841,108.457909747455,342.529816363,211.145811023979,193.465172549517,122.769782247432,268.049337471441,205.050530226328,186.121295710554,177.491119042309,252.086304844835,320.653549047608
"4907",1.74059571149307,0.648287875261351,0.0909370809172116,0.028837558830574,5100.33566843657,0,0,0,49563.8749329308,901000.499736435,1978122.46136936,1468878.56569465,1378053.69850237,2318736.43667413,4491738.3784571,3215797.03999921,3077280.9596477,2412267.82193066,2912207.99302724,3942424.24469501,2997002.05468625,1603162.72960791,2664569.40041919,3333596.39920049,8082000.85993661,109.207609508692,75.0973973798013,110.253409433856,71.7532860161092,114.743714023922,352.080465968193,219.142877686624,202.70898977977,121.840551750441,284.027551515777,210.530263243352,190.301769661452,179.122344816865,268.6418069709,343.764348100964
"4909",1.59717793227509,0.654488826882817,0.0872461667116856,0.0329228991751793,5101.04184209916,0,0,0,51044.3492271134,927820.180713494,2065975.78576291,1540515.2683768,1453328.61312573,2459206.40213285,4815049.66925732,3455004.27064814,3280909.27622186,2575141.79763743,3113207.16261861,4221384.59203423,3216876.21243025,1725568.78232173,2874678.04531959,3603873.26585477,7737474.37957662,122.777328157761,84.1284210512,124.273011841954,80.1887804096268,129.082748869945,392.156377084859,224.731384626496,206.158540429094,129.954622473419,286.042247821678,217.951125482723,197.729374275368,188.259326151261,269.203465416737,342.6893581634
"4911",1.90251735935948,0.613854670417712,0.0882130910379511,0.0275942057465046,5103.24986824377,0,0,0,47606.4409357178,865468.980875358,1847744.56385643,1366188.96253794,1272428.27282231,2124260.63637204,4062777.22932527,2879087.60150421,2732024.50138846,2138097.20904231,2577333.25622024,3482835.16248646,2635944.50645729,1407984.8461159,2344844.50766587,2947807.50391148,7610559.64544416,102.219251635095,70.1077885446672,103.394182288545,66.8673684682367,107.450986343342,327.300000345887,204.786790702925,189.953772129994,112.332445746608,267.014704439349,196.112862331706,177.050230953952,165.995178926316,252.960218397778,324.244379923393
"4912",1.70386634196652,0.650676025135383,0.0900862939606673,0.0307410259630418,5099.48775189135,0,0,0,49936.9582181533,907763.183502396,2001124.14709141,1487487.43765725,1397490.04159303,2354817.37483225,4574217.43293591,3277307.45464075,3127807.64033418,2452671.20009769,2962052.19369208,4011482.75331328,3050980.24021712,1633338.65843211,2715939.30532437,3397589.3609767,7754483.02452344,112.349297905205,77.1949622370521,113.49213432241,73.7169794411372,118.061703686395,361.440662105734,217.276537571437,200.178141260028,123.144889365472,279.162993144043,209.697093598331,189.885324684801,179.734025327645,263.412149898761,336.233269280168
"4913",1.63898370930484,0.677359286815597,0.0880025162623795,0.0362842872374341,5100.78728990728,0,0,0,51168.5528189155,930132.30440042,2102999.6315834,1567220.63969729,1478429.46754372,2500409.04070543,4895830.32838869,3525659.30734914,3350086.07089832,2628969.91678397,3176940.41392425,4304923.36379136,3278223.48402315,1756488.18191889,2912192.41062707,3614122.59596849,6914915.11260522,118.86902135076,81.5104716142946,120.253097167734,77.7322452520242,124.957438324472,380.407624317616,210.020732389495,191.498951532436,124.838643776273,263.777531476476,205.0739103591,186.52975785357,179.03026425583,247.322705851212,313.592613195278
"4914",1.56487726037811,0.704522882406211,0.094204462313535,0.0381580193342879,5103.06861207392,0,0,0,52618.9923822359,956470.260267125,2195493.44441417,1639489.1481653,1552996.7079046,2639142.30797898,5195465.74165716,3774753.66375019,3625084.44350037,2847134.7781177,3442853.41306061,4668448.82189725,3562402.87896148,1909782.37382351,3157955.02506221,3894906.12335144,6970065.4473376,118.321198862021,81.6157014119367,119.186554699596,78.1431410214522,124.2511702377,384.535160748879,215.443826363997,195.832012850565,129.843194346468,268.728909752325,211.099177388338,192.262076772974,185.278381368727,251.471902194008,318.189397576285
"4915",1.69753376877191,0.646887173697459,0.0951243661808188,0.0397845864106627,5100.6681269068,0,0,0,49907.0687682562,907212.812915828,1982137.14766244,1472757.38538163,1383317.10062644,2331971.94345849,4521466.40993963,3244243.83133835,3082868.37850825,2417458.13555593,2919924.16469504,3954184.61663819,3002403.21218765,1609820.01923374,2678695.1880118,3343418.30851505,6010648.57906173,108.293428323702,74.7627425036903,109.01725194629,71.6228497720938,113.703477663274,352.728370618454,195.306782200179,177.072171566918,119.034188338322,242.225565881619,191.912120044637,174.974201778692,169.17191238975,226.300387998332,285.84034964322
"4916",1.54443645662161,0.679686122718578,0.102981152768755,0.0291469258805505,5102.29395770193,0,0,0,52233.7164584037,949422.297035071,2116805.50445057,1579299.20164425,1494214.74673936,2540113.74871907,4977082.37493559,3614458.05848087,3532915.32179532,2774745.61712434,3355936.70257438,4553183.01483898,3479118.5817645,1864856.56682229,3097523.68052134,3866965.43970755,9135007.24762896,112.318386270757,78.0950712014572,112.479282962778,75.1703275271358,117.779405295225,372.608384247509,245.729963679781,227.150131240923,137.065521780731,318.02414737675,236.253954340021,213.617505962596,201.25818478154,300.677932444079,384.600334621968
"4917",1.67406788914137,0.633908977883837,0.101470792115844,0.0325266747719753,5099.89425519905,0,0,0,49819.0998527802,905586.574652543,1946034.72754737,1445429.53015138,1357205.00443029,2289494.7050908,4428581.5726629,3179160.62289633,3061429.90036903,2400880.58418706,2900446.31396302,3929523.12314229,2987699.17747646,1601873.03793475,2673094.81674756,3363133.09593426,7404764.75213627,104.736603413805,72.7259099427896,104.990561627454,69.9401251879029,109.855436826424,346.263520500002,215.565320885441,197.899941718189,124.217687249042,274.83133522357,208.882712500495,189.440180042816,180.182505129636,258.771822544765,329.570164724295
"4921",1.74808244490328,0.582589574569323,0.099192346930905,0.0393325359478468,5100.65913785191,0,0,0,48043.946004088,873322.443196339,1806074.16105255,1337376.59162595,1248259.44632496,2093257.59258843,4006676.07585494,2842057.74055853,2685630.64198215,2103850.01280301,2539980.2366066,3437826.66754491,2602159.93242459,1398021.68334987,2349653.69397514,2987797.94963693,5736734.25902502,101.975232471531,70.663759005185,102.376703294642,67.8646605679312,106.998352947986,335.364301355729,190.523396508506,172.856755055521,115.76549756641,236.662043184273,187.067063132522,170.507101617457,164.7061670948,221.201752698696,279.534180385429
