"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13"
"3133",1.95865245759813,0.487833091473937,0.092027519886597,0.0351826146083328,3925.84324142803,0,0,0,44743.8963393369,813382.185681955,1566443.52981142,1151774.93760943,1060642.67741059,1750780.63308766,3266580.85653044,2263606.46869632,2099058.45618696,1638421.02206105,2001428.57173513,2801135.17124097,2301989.32646897,756260.573407668,1107320.35051071,96.1899581642704,66.2143016761848,97.0380248987348,63.3099238353984,101.047557335289,309.760864816654,177.956287280038,162.554808912289,104.859594289448,224.459173352551,173.428481480689,156.302349367117,140.21285513118
"3134",1.80284352818679,0.527891637801159,0.0929357086355621,0.0375972021229396,3925.57815672906,0,0,0,46464.8301517333,844605.798433207,1683246.6785767,1243261.44581279,1153823.67118981,1920440.87381679,3636984.38498376,2547997.10218325,2376472.7145191,1858369.27372775,2272175.08511594,3180310.2263031,2616352.67849363,855441.727367118,1146464.16353558,103.742027121749,71.4741884843142,104.591401501396,68.3785075212743,108.964394148995,334.827192502591,188.04361636485,171.06257921164,112.860375298109,235.034268095818,184.102403155306,166.211418320032,149.905358216654
"3135",1.84100406175168,0.493887447677425,0.109874682951197,0.0341615315798211,3925.32552769439,0,0,0,45506.512092559,827181.25451314,1579280.66815057,1162756.6428853,1074372.64679653,1783232.92084508,3336331.84355901,2332362.62135253,2203287.65611112,1721660.15663046,2107249.45591347,2957813.76826191,2442481.61828549,806003.412137484,1216144.26601986,89.9491016420175,62.9155493458943,89.6796341353809,60.7973993587705,94.2211373369317,301.812322984105,191.740556396232,175.468112623066,112.044431631937,242.824576845321,186.477710720079,167.93115456192,150.278424946178
"3136",1.87193029291918,0.480098411313819,0.107616447825262,0.0353848879414511,3925.27598844026,0,0,0,45043.774503007,818778.301983217,1548984.52037395,1139353.88741511,1050679.0658287,1740053.22000006,3244416.66217545,2258844.66163595,2121751.25971908,1657202.73106111,2028580.1948161,2848907.1856251,2352690.1854183,778021.903260117,1147694.97280083,89.7813033637288,62.6774416020627,89.6409776954928,60.4908679993308,94.0781071996644,299.778418910483,185.746905206923,169.610609749754,109.626489986028,234.1014534852,181.093166403867,163.234935035078,146.500687793867
"3139",1.71420222232074,0.567565943859461,0.0910956201114446,0.0408367836966759,3926.53433933121,0,0,0,47966.9813344871,871884.375127425,1799932.85810355,1334131.56749981,1245571.76647387,2085060.60768995,3995753.30182968,2823525.6736167,2637513.85947302,2065010.70400158,2524057.87587089,3526349.14639788,2894869.65319772,938865.350640899,1130436.40764173,110.744818425372,76.1659803911016,111.793075770142,72.7816968077238,116.35572838099,355.810201175133,191.33353270821,173.172309130963,117.405811457504,236.461267539135,188.377335431639,170.430729572782,154.708631998849
"3141",2.14775366537013,0.443877903439243,0.100860074971941,0.0345413799789613,3924.99163362938,0,0,0,43078.6988465935,783162.4135534,1440522.30435952,1053556.02413731,961833.315249933,1573939.40825622,2880338.98841964,1977100.58351666,1833406.87869242,1427923.12529198,1741891.73578582,2436037.04723244,1996727.54033543,658418.243224859,1008347.91479809,81.9960060481777,56.9044767827726,82.2279104822966,54.7049316663416,86.011849376019,269.666427377875,163.572082710316,149.586940109916,95.8847101926882,206.837385977603,159.205653188189,143.413859097819,128.45613264762
"3142",1.9468187957683,0.464995307740232,0.104868540940378,0.032777046995685,3925.68067044779,0,0,0,44349.0129635421,806181.904932636,1508607.10108185,1107648.61939818,1018072.31131357,1679574.41874075,3113216.98213765,2156100.52957382,2018184.41594091,1574969.55095983,1926701.64724862,2704764.01274154,2232252.83448735,739393.831129141,1182895.05362998,87.9437025022025,61.2487496421117,87.9616301889931,59.0195091652792,92.1921045743559,291.866045246985,184.638689558251,169.406573465807,106.620432817198,235.16117235582,179.048484315497,161.061324159973,143.631682417962
"3144",1.9553314773088,0.525793308827565,0.102970269383299,0.0335955162981675,3923.54891359182,0,0,0,45514.0647523204,827404.785040108,1623361.68604535,1194370.23496195,1102947.52800797,1826807.7243824,3420581.43653956,2396886.93071311,2263110.69659775,1767423.9382826,2155371.69341014,3005282.14675174,2459691.84158319,799791.464392917,1181660.60615312,88.7224871842204,61.6882291436477,88.8502144167716,59.377561528108,93.0364135652338,293.197013428284,181.847936556734,166.58883953693,105.757694471422,230.824745955396,176.649203564407,159.008880765144,142.095857840152
"3145",1.94667825575076,0.54057183781902,0.0951213719216695,0.035728084483237,3923.37884614705,0,0,0,45856.1170704319,833627.738874036,1667532.8939013,1228352.3126761,1136152.8908516,1883260.1999405,3543709.81441279,2484346.97023153,2329181.14989118,1819503.08297254,2217756.80145215,3088041.12158014,2522258.06698108,816464.467643694,1123904.137378,94.4357531881548,65.1956114343816,95.0671464204245,62.4574037395717,99.15355936693,306.41242761176,177.885749078955,162.334824772471,105.270873458297,223.897251659014,173.545387112909,156.47138094651,140.541375511177
"3148",2.08029490989244,0.545316268419621,0.0920029423556184,0.0321816431449684,3927.34015726446,0,0,0,45238.1437443071,822441.446027532,1650898.6108943,1213650.31668119,1119112.27310386,1847380.54281449,3458013.0078711,2418520.82979266,2268205.50750207,1770152.07332915,2152577.36496599,2986069.56656674,2426818.67404913,780458.331893967,1169918.53090756,90.5834092423573,62.3534689543516,91.3835917969526,59.6175062662205,95.1582708777343,291.688393326665,174.210145272589,160.021948139655,100.063932493541,222.437300638391,168.716557750254,151.691815264816,135.065896728381
