"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"905",1.9480439485928,0.562850095374677,0.0974140535874273,0.0346115870482612,3440.71231677858,0,0,0,36442.5766921455,736827.510649592,1608866.48388285,1185345.19999562,1067887.31964735,1742263.95820159,3127973.64681305,2070955.49035514,1896307.60502386,1736108.10938402,2236057.65141757,3085963.37504109,1735511.27144909,1670338.05123526,80.6106549901115,62.5345444780373,87.5875741149928,55.0374841631108,93.5597602250244,255.188934488779,151.571784945108,109.643323325453,93.8702528791362,215.563841092946,167.744474282425,151.853010465333
"906",1.7865709795314,0.583735944834642,0.106371515737856,0.0356099796902079,3440.63706258382,0,0,0,37616.2001298345,760499.259231521,1678440.8100519,1240649.05777444,1124448.44693168,1848355.84688841,3349082.78036517,2239709.64633249,2077530.73343913,1905622.1010047,2459452.22477166,3402618.66782858,1920565.21718668,1786521.14530245,82.4482831390557,64.4820117832128,89.0729767452197,57.0519476978431,95.5710312713903,266.442289394826,163.283297391414,117.901844487901,101.932135401603,231.307507857095,181.057757066865,164.028775846458
"907",2.03482012906907,0.440834039298811,0.110188845297161,0.040226491870129,3441.19907395189,0,0,0,34226.0935902663,691985.485034144,1359218.64308412,994887.486789488,885270.949978525,1428845.91364186,2495212.92557398,1615363.52590954,1457656.30974092,1337647.01524398,1737656.50276807,2440800.37045588,1403217.8214171,1302610.92653565,70.5873743673778,55.3897590266395,76.0787476885176,49.1124705797448,81.7794358545536,230.029219920988,136.419073717111,97.7498554605668,88.0213741381273,190.025902868578,152.514283541572,138.606517511699
"909",1.73501339638661,0.572403828602326,0.0998482292468578,0.0363921616252468,3439.69544124817,0,0,0,37721.302148686,762585.815641139,1683215.89838201,1245869.10762844,1130403.43366603,1859672.4954602,3380695.34066261,2252843.59955076,2069764.1061413,1900668.18654844,2458422.84256466,3414338.53585841,1937581.03661871,1790826.22659047,88.8841903092897,69.1084081037655,96.4247774876634,60.9128010824938,103.126102241249,283.000936374988,166.610295666783,120.138520149335,104.637173064221,235.312036705711,185.020400362684,167.714623627368
"911",1.98497602007427,0.505824838979621,0.0914337439955168,0.0348473925079844,3441.51954547309,0,0,0,35397.1969987131,715677.389793196,1503679.35377945,1105466.68738202,990719.619694678,1607659.7491132,2859686.40512703,1867373.62249072,1683175.22914917,1542563.90905135,1994576.65579242,2776045.99353918,1580224.9970089,1586690.19179426,82.9194375694427,63.9607542415941,90.4536014351199,56.0826587091964,96.3243920550305,258.697694085619,148.319867168996,107.244630319016,92.0319959001028,210.740812658517,164.222075466234,148.691188275285
"920",2.01648058407196,0.571387688812635,0.0901922847273605,0.0309887812133277,3443.46773420807,0,0,0,36266.2791406081,733287.178247459,1621461.52873287,1194083.06170488,1074681.36281916,1749525.26614131,3140487.79558952,2074909.23641442,1894133.50956735,1732131.12128417,2226277.61404062,3061930.27434542,1716493.79643711,1808612.30683981,82.4645409160547,63.5330372220531,90.0326346722162,55.6631405008264,95.8138484681718,256.478269753646,153.77115747794,112.022301085781,92.244366211217,222.062212177745,168.877543903348,152.42163053137
"922",2.09515724127493,0.502701842510439,0.0933030220281036,0.0323027461351712,3441.50025433501,0,0,0,34933.2517237015,706330.616457528,1473902.25812197,1081256.9082824,965988.870766804,1561963.36899031,2760189.50312608,1799093.31642407,1626364.58505801,1488051.33705929,1919530.9255646,2662422.48286975,1509579.1973515,1619173.80439124,77.381272197259,59.796458379978,84.3067999191797,52.4935971208874,89.865848524492,242.540321620407,145.250150661605,105.534090081068,88.1969815084515,208.556533608955,159.982795307114,144.557669660468
"924",1.84193318144667,0.568262725804893,0.0981990280864023,0.0289028993137821,3439.79290673452,0,0,0,37052.4609735585,749118.870602131,1645961.04586317,1215395.35189904,1098746.84053376,1799821.52173595,3251768.44255306,2159750.23538461,1992624.54828813,1827150.65020878,2358670.13530826,3268245.02202162,1856150.33307865,2118464.1235173,84.7528786737484,65.7959710758486,92.0412358817296,57.9355745893942,98.3561894520792,268.802471194148,173.886049189936,127.242400199454,102.163214101528,253.5328884051,190.03340140531,171.184912224127
"926",1.85824974672098,0.615961037210839,0.0908149741716937,0.0290927773623072,3442.71065576078,0,0,0,37751.457467702,763284.667984718,1752856.42684748,1296532.96251505,1175849.72102493,1929486.1274423,3514538.94203319,2348365.30793993,2166865.57369862,1984061.21207382,2550645.32084447,3503959.49022616,1964463.99987474,2131571.25622413,89.0257899755845,68.6296831188442,97.1552121197917,60.1526175739142,103.427523142039,277.318873091979,171.826474200921,125.682589032389,101.152989710949,250.304528708904,187.869580321227,169.266668541821
"927",1.7427573360866,0.57094443852424,0.104331189974003,0.0358659657172137,3439.55193656789,0,0,0,37649.731796174,761142.551326259,1669857.62320348,1235259.17186922,1120187.30252017,1842669.24211869,3343143.78564914,2230353.16921062,2059271.20769014,1890895.56957812,2445673.18621611,3396742.22623399,1928246.45487838,1807749.0791531,85.7088831261136,66.9107879198143,92.7144009509685,59.1315896648507,99.3788512770427,275.715847816165,166.884105913506,120.447114877425,104.387646842407,236.174191776591,185.140948890726,167.759637198427
