"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14","Biomass15"
"7438",1.61294218708983,0.703063589050454,0.0854769568551522,0.0297978463775231,5101.92892963115,0,0,0,52050.8958560249,946176.994179411,2191397.04200339,1635723.99673845,1547184.59976382,2622004.83611079,5162729.33460194,3732330.73518041,3576874.16316273,2808145.96918257,3393919.70819429,4600158.07789332,3512654.67453756,1879248.17456256,3104802.56371339,3837116.31212835,8646765.7061251,123.477821867814,84.4614154386998,125.138647481951,80.4111864952528,129.859073007414,392.596222314527,232.863209207893,214.958112776411,130.756509913422,300.465643125544,224.239078124902,202.878495222755,191.51205552717,283.843837153724,362.756159555601
"7441",1.74575514721276,0.592415981564024,0.0976730675831897,0.0403373652369231,5100.40187435177,0,0,0,48279.7814620458,877616.509982616,1831696.90924357,1356995.68794099,1267631.70314425,2126949.76902058,4079269.25046278,2897527.39155309,2735258.98087708,2142957.38962916,2587261.13002217,3501898.63067153,2651198.77213227,1423877.25875196,2388924.6822762,3027144.97041709,5626821.22120645,103.271816830248,71.4634757679556,103.783604467745,68.5695931115791,108.385580363876,338.42072352532,188.880152167968,171.100642758377,115.539211399649,233.814511942485,185.770091365485,169.433554555456,163.990243598901,218.323985362291,275.605444308826
"7445",1.92451738879347,0.557467802040269,0.0980584184193791,0.0334439435420206,5101.09687829776,0,0,0,46323.6875054426,842127.948865753,1702078.56346734,1254776.96063979,1162776.03152224,1934529.9909278,3654582.36163119,2570623.38810227,2427677.55790901,1898438.07290007,2287925.77058128,3090384.72904019,2330437.75784992,1248669.24416526,2099048.2685558,2677828.97529972,6057145.45725672,93.4091006180156,64.6612607820225,93.8477992318171,62.0573733158027,98.0283252240388,306.37860739064,185.221117747113,169.746775521737,107.592783091929,235.245741739115,179.831926000543,163.216069905652,155.604404946472,221.26452881056,281.48624033647
"7447",1.64530499542122,0.670268980579092,0.0916853476682717,0.0301630661678502,5099.63996223917,0,0,0,50938.5536767736,925949.294950226,2071859.66497989,1542911.15216975,1454274.51521867,2458844.13508924,4802013.98438224,3458699.70375771,3321578.03059349,2606325.14732294,3149259.88217594,4267688.6770969,3252449.13769663,1741358.06952202,2890103.00777348,3602717.48504862,8254323.44706339,114.827760544609,79.0183710752525,115.867464881943,75.5358714323916,120.633521604542,370.887298028994,226.991264824752,209.377554445604,127.9254464314,292.402262193938,218.775636076501,198.00234027986,187.108198757957,276.100850847605,352.69258100791
"7448",1.82395590026138,0.635114482128743,0.086624301124632,0.0403754535573117,5102.95430024924,0,0,0,48609.0733415239,883675.749556561,1925955.42471647,1427464.69666614,1334673.0872145,2236578.57258487,4310965.46410007,3069068.52907438,2877911.41067821,2254156.14637148,2719498.45690796,3677433.91199095,2783642.89875779,1490151.84100846,2477038.91063319,3086939.48508807,5485756.7679318,108.09494797469,74.0228030445503,109.459803388217,70.5272613061485,113.65855636885,344.708851632684,180.71500217612,163.694619311467,110.572101544508,223.678097722421,177.750684069834,162.123240866871,156.926220618889,208.851375750673,263.637041965479
"7449",1.6244410860644,0.640233453307573,0.0943255772009445,0.0377566426621236,5099.72300519163,0,0,0,50430.6413667004,916671.65612967,1999579.4558975,1488319.53999717,1400936.76950279,2367493.12772828,4607878.32578341,3305643.58207977,3142423.27346232,2465567.77768522,2980127.57252462,4039465.65615556,3072284.55369543,1649378.22034456,2752492.56470792,3455571.68945698,6595866.79014645,113.874268290067,78.5571744463266,114.697639237293,75.2204485690406,119.578962364293,370.191567340903,208.440981384991,189.590502682983,125.262129283171,260.370634108667,204.089764793631,185.82731187938,178.926971863225,243.750944391905,308.555684726677
"7455",1.67819530655161,0.607568295276201,0.103776009873572,0.0396797014162259,5101.28821704799,0,0,0,49174.0561842865,893838.68825799,1878206.72946746,1393610.12823126,1305886.46967536,2199667.89081483,4236159.15619106,3028217.78348868,2888217.43621052,2264436.73099381,2735724.62210402,3705882.18745027,2811413.12819653,1510558.0860007,2531849.1727022,3202336.19697615,5989322.45355146,102.793515447166,71.5224894645774,102.88742286171,68.8757840163758,107.777851051998,341.622588187823,197.764416472424,179.329428655081,120.447399069634,245.361996879479,194.29234534182,177.132454046808,171.223431896065,229.254357748113,289.603597184184
"7460",1.50000079743232,0.640531007478678,0.0982135255274715,0.0392664166099829,5103.31375186099,0,0,0,51744.3834874202,940428.594920433,2051400.03586722,1531671.73801296,1448372.54180572,2461314.3956853,4821665.74632976,3472848.34688995,3313221.46260793,2602476.89627925,3149612.14631343,4275639.99314731,3259816.18737736,1754317.0265461,2936389.67561891,3702363.65855342,6868102.46516525,119.706162156998,82.8767718971594,120.255894894352,79.5468395417648,125.622643448,392.775197203257,222.182875694573,201.601416042195,134.941627648927,276.051867254999,218.127303291361,198.809214409111,192.020133832515,258.035392502388,326.104083361726
"7461",1.89739579580133,0.60892171646759,0.0848859447248348,0.0342706798494101,5101.94188087642,0,0,0,47540.0509870128,864257.572332499,1845811.55106939,1365088.08785757,1271282.10462315,2121507.13135251,4060294.58055739,2871212.04042286,2692980.42528155,2107513.16731381,2540710.53033067,3433198.80315579,2595122.56644698,1387835.22593133,2313282.89252263,2905250.58815821,6136513.21673631,105.520974162956,72.1363135421412,106.985278751047,68.6497708375627,110.985680993278,334.986066310163,185.880579613875,170.091450976733,108.731880362903,235.293835918154,180.782041206156,164.185936487581,156.848326617832,221.102687166201,281.002416896756
"7467",1.8646040260982,0.601642081327105,0.0971262366092672,0.0354077883718974,5100.16569184045,0,0,0,47612.1795849333,865551.253856976,1813690.6762282,1340572.12797379,1248502.63125434,2086971.96064503,3981621.8968741,2826563.27670693,2682815.0177343,2099957.07983667,2532374.72505999,3423146.67285341,2588039.89273911,1385492.59418702,2314076.22025773,2915407.6200274,6024615.05463477,97.088765160284,67.1512373283995,97.605713586451,64.4104730113506,101.905470736702,317.747982268831,186.521317772186,170.330784461311,110.116821531475,235.050070038773,181.819189124125,165.271310822914,158.310787876255,220.596014826941,279.985533145443
"7473",1.56877230726019,0.687329741868031,0.0881167313763587,0.0316599190487848,5100.35290194453,0,0,0,52150.3409474361,947936.366141649,2164717.22797387,1616668.420976,1529955.06913102,2596157.95652309,5111218.05491565,3692283.31711923,3534330.20067321,2775424.47177385,3355961.51975336,4551449.29936249,3475267.0808578,1862189.86884547,3087442.79281391,3837610.8580057,8310339.59850116,124.067767306393,85.084782701245,125.502313692494,81.146976450943,130.419900957915,397.160275031035,232.839822129352,214.120836885028,133.118036173119,297.95573602467,225.189763138585,204.079182285737,193.659809552773,280.832548527192,358.052135898639
"7475",1.57459176973246,0.678763357600468,0.0873613120271197,0.0370051150845194,5101.40573354947,0,0,0,51875.3242931544,942932.806247854,2140796.91029664,1598317.39166153,1511491.08666388,2563020.82676881,5040383.8243349,3634035.73290607,3448768.21224321,2707906.24575295,3274354.17313294,4440268.98361184,3385442.13412544,1815962.39629624,3014552.77953393,3747823.60832044,7061267.22747324,124.41449540195,85.2598149445697,125.919907618412,81.2733888799366,130.801395610369,397.502818961058,216.826384041649,197.463227538957,129.586140749292,271.591943949775,212.007020830991,192.935237900223,185.472418301694,254.455162385403,322.374356989983
"7476",1.58999461217874,0.685015822072288,0.0864813008862801,0.027320044921882,5101.9967876644,0,0,0,51861.3369594048,942697.43420488,2151949.44448389,1606368.11982932,1518897.078688,2574511.93763019,5063632.02828962,3652361.83636362,3504916.23401667,2751796.09727688,3326602.92968343,4510878.19271803,3445472.30410143,1844493.11828955,3057797.13576089,3807199.69172542,9487903.07908393,124.155805788534,85.0092534933212,125.73616677764,80.9871874593901,130.549296395009,395.780113181105,246.234972920344,228.542748489096,134.652010009299,321.4921868246,235.634915439398,212.670632456037,199.212300523958,304.681277959502,390.688385112899
"7479",1.57169829538972,0.643110341295118,0.0883024073306422,0.0297773781097761,5103.202162604,0,0,0,51029.0331083491,927505.865050845,2046216.43499485,1526215.75495889,1440069.42835921,2438206.89755435,4772658.27044448,3420758.75144604,3258187.27204604,2557676.87284826,3092900.49961373,4195575.22528846,3199561.51631821,1717195.04991214,2868243.41890025,3617173.39887622,8645880.18155762,123.640615148678,84.8071323176473,125.053934901377,80.8920472727012,129.966734015485,395.979845125244,239.050670391256,220.679328870633,134.203169544052,308.478310899383,230.186032755863,208.254981616524,196.57548710168,291.420711423689,372.449484983308
"7482",1.50316887501668,0.674563802415226,0.094298893426285,0.0331507314219311,5100.3475144369,0,0,0,52583.7810964772,955738.507817587,2149320.7413282,1606660.02746303,1522673.56890115,2590732.57218361,5102328.45407393,3691810.04998872,3549244.76960477,2788462.08228287,3374072.8505338,4579932.20215291,3499248.22229028,1878511.8403934,3125845.23229522,3908403.91161415,8236383.61633462,123.087169525573,84.9106617810361,123.979407260709,81.3027135312694,129.253970324504,400.115746394664,238.059963642155,218.291373098827,137.936362502825,302.720703330536,230.989978509011,209.597523895647,199.675070397266,284.825128987993,362.474798535527
